sample_id,split,overlap_ratio,cer_mixed,cer_sep,cer_sep_trim,deg_mixed,deg_sep,deg_sep_trim,cer_fixed_mixed,cer_fixed_sep,cer_fixed_sep_trim,cer_halluc_2way,cer_halluc_3way,cer_overlap_router,cer_oracle,choice_halluc_2way,choice_halluc_3way,choice_overlap_router
SyntheticNoOverlap_test_05,test,0.0,0.65,0.75,0.65,0.8824,0.766,0.7692,0.65,0.75,0.65,0.65,0.75,0.65,0.65,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticNoOverlap_test_06,test,0.0,0.5,0.269231,0.307692,0.8226,0.85,0.8226,0.5,0.269231,0.307692,0.5,0.5,0.5,0.269231,fixed_mixed,fixed_mixed,fixed_mixed
SyntheticNoOverlap_test_07,test,0.0,0.541667,0.541667,0.541667,0.8929,0.8571,0.8254,0.541667,0.541667,0.541667,0.541667,0.541667,0.541667,0.541667,fixed_sep_trim,fixed_sep_trim,fixed_mixed
SyntheticNoOverlap_test_08,test,0.0,0.666667,0.277778,0.333333,0.7105,0.7576,0.7576,0.666667,0.277778,0.333333,0.666667,0.666667,0.666667,0.277778,fixed_mixed,fixed_mixed,fixed_mixed
SyntheticNoOverlap_test_09,test,0.0,0.409091,0.454545,0.227273,0.8961,0.78,0.8125,0.409091,0.454545,0.227273,0.227273,0.454545,0.409091,0.227273,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticNoOverlap_test_10,test,0.0,0.25,0.25,0.5,0.8451,0.8136,0.8226,0.25,0.25,0.5,0.5,0.25,0.25,0.25,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticLightOverlap_dev_01,dev,0.1,0.46875,0.3125,0.34375,0.9505,0.85,0.8226,0.46875,0.3125,0.34375,0.34375,0.34375,0.46875,0.3125,fixed_sep_trim,fixed_sep_trim,fixed_mixed
SyntheticLightOverlap_dev_02,dev,0.1053,0.576923,0.346154,0.615385,0.9688,0.8824,0.8824,0.576923,0.346154,0.615385,0.615385,0.346154,0.576923,0.346154,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticLightOverlap_dev_03,dev,0.1105,0.5,0.65,0.65,0.873,0.7576,0.7576,0.5,0.65,0.65,0.65,0.65,0.5,0.5,fixed_sep_trim,fixed_sep,fixed_mixed
SyntheticLightOverlap_dev_04,dev,0.1158,0.555556,0.444444,0.444444,0.7317,0.7317,0.7317,0.555556,0.444444,0.444444,0.555556,0.555556,0.555556,0.444444,fixed_mixed,fixed_mixed,fixed_mixed
