resample,threshold,oob_cpwer,oob_compute,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
232,0.01,0.719435,1.392362,24,22,0.311688,0.916667
233,0.01,0.782077,1.395106,26,24,0.337662,0.923077
234,0.01,0.763773,1.364619,27,23,0.350649,0.851852
235,0.01,0.750464,1.382171,28,25,0.363636,0.892857
236,0.01,0.743278,1.37096,30,26,0.38961,0.866667
237,0.01,0.830633,1.342425,25,20,0.324675,0.8
238,0.01,0.904292,1.339473,29,23,0.376623,0.793103
239,0.01,0.733646,1.361151,32,27,0.415584,0.84375
240,0.01,0.778399,1.332913,27,21,0.350649,0.777778
241,0.01,0.816423,1.378643,26,23,0.337662,0.884615
242,0.01,0.721164,1.382171,28,25,0.363636,0.892857
243,0.01,0.761038,1.396325,27,25,0.350649,0.925926
244,0.01,0.742636,1.364619,27,23,0.350649,0.851852
245,0.01,0.789905,1.339473,29,23,0.376623,0.793103
246,0.01,0.774803,1.33631,28,22,0.363636,0.785714
247,0.01,0.741315,1.364619,27,23,0.350649,0.851852
248,0.01,0.718151,1.372801,31,27,0.402597,0.870968
249,0.01,0.70877,1.324713,29,22,0.376623,0.758621
250,0.01,0.7043,1.353591,23,19,0.298701,0.826087
251,0.01,0.781041,1.332913,27,21,0.350649,0.777778
252,0.01,0.807789,1.382171,28,25,0.363636,0.892857
253,0.01,0.80062,1.359546,25,21,0.324675,0.84
254,0.01,0.838438,1.356693,30,25,0.38961,0.833333
255,0.01,0.795573,1.332913,27,21,0.350649,0.777778
256,0.01,0.756121,1.372801,31,27,0.402597,0.870968
257,0.01,0.750856,1.321023,24,18,0.311688,0.75
258,0.01,0.791273,1.366884,28,24,0.363636,0.857143
259,0.01,0.800624,1.412178,27,26,0.350649,0.962963
260,0.01,0.811049,1.37096,30,26,0.38961,0.866667
261,0.01,0.753111,1.396325,27,25,0.350649,0.925926
262,0.01,0.758152,1.366884,28,24,0.363636,0.857143
263,0.01,0.751769,1.313889,30,22,0.38961,0.733333
264,0.01,0.691207,1.332913,27,21,0.350649,0.777778
265,0.01,0.813056,1.350207,33,27,0.428571,0.818182
266,0.01,0.788681,1.382171,28,25,0.363636,0.892857
267,0.01,0.760359,1.374527,32,28,0.415584,0.875
268,0.01,0.769104,1.348766,27,22,0.350649,0.814815
269,0.01,0.786123,1.356693,30,25,0.38961,0.833333
270,0.01,0.77958,1.380472,27,24,0.350649,0.888889
271,0.01,0.803347,1.368992,29,25,0.376623,0.862069
272,0.01,0.749152,1.395106,26,24,0.337662,0.923077
273,0.01,0.653675,1.386609,31,28,0.402597,0.903226
274,0.01,0.870267,1.376148,33,29,0.428571,0.878788
275,0.01,0.808267,1.368992,29,25,0.376623,0.862069
276,0.01,0.772668,1.329255,26,20,0.337662,0.769231
277,0.01,0.803347,1.368992,29,25,0.376623,0.862069
278,0.01,0.70856,1.33631,28,22,0.363636,0.785714
279,0.01,0.890511,1.291839,22,15,0.285714,0.681818
280,0.01,0.603875,1.412744,28,27,0.363636,0.964286
281,0.01,0.843085,1.348766,27,22,0.350649,0.814815
282,0.01,0.764339,1.36218,26,22,0.337662,0.846154
283,0.01,0.784911,1.364619,27,23,0.350649,0.851852
284,0.01,0.731388,1.37096,30,26,0.38961,0.866667
285,0.01,0.723892,1.321023,28,21,0.363636,0.75
286,0.01,0.800671,1.342425,25,20,0.324675,0.8
287,0.01,0.796441,1.325304,25,19,0.324675,0.76
288,0.01,0.802784,1.351597,28,23,0.363636,0.821429
289,0.01,0.823082,1.412178,27,26,0.350649,0.962963
290,0.01,0.733903,1.382171,28,25,0.363636,0.892857
291,0.01,0.763016,1.345717,26,21,0.337662,0.807692
292,0.01,0.828511,1.321023,32,24,0.415584,0.75
293,0.01,0.759763,1.380472,27,24,0.350649,0.888889
294,0.01,0.749288,1.348766,27,22,0.350649,0.814815
295,0.01,0.785957,1.387903,32,29,0.415584,0.90625
296,0.01,0.718307,1.408575,22,21,0.285714,0.954545
297,0.01,0.748051,1.33631,28,22,0.363636,0.785714
298,0.01,0.780502,1.347775,32,26,0.415584,0.8125
299,0.01,0.780807,1.412178,27,26,0.350649,0.962963
300,0.01,0.829968,1.31706,27,20,0.350649,0.740741
301,0.01,0.725902,1.354233,29,24,0.376623,0.827586
302,0.01,0.810427,1.351597,28,23,0.363636,0.821429
303,0.01,0.750502,1.354233,29,24,0.376623,0.827586
304,0.01,0.783543,1.380472,27,24,0.350649,0.888889
305,0.01,0.787677,1.29045,28,19,0.363636,0.678571
306,0.01,0.733711,1.372201,23,20,0.298701,0.869565
307,0.01,0.813231,1.354233,29,24,0.376623,0.827586
308,0.01,0.755422,1.354233,29,24,0.376623,0.827586
309,0.01,0.69511,1.368992,29,25,0.376623,0.862069
310,0.01,0.865544,1.348766,27,22,0.350649,0.814815
311,0.01,0.774088,1.312792,26,19,0.337662,0.730769
312,0.01,0.803347,1.368992,29,25,0.376623,0.862069
313,0.01,0.824976,1.325304,25,19,0.324675,0.76
314,0.01,0.665202,1.351597,28,23,0.363636,0.821429
315,0.01,0.839047,1.345186,31,25,0.402597,0.806452
316,0.01,0.69748,1.358994,31,26,0.402597,0.83871
317,0.01,0.864102,1.347775,32,26,0.415584,0.8125
318,0.01,0.819118,1.395106,26,24,0.337662,0.923077
319,0.01,0.83297,1.321023,32,24,0.415584,0.75
320,0.01,0.831074,1.317571,31,23,0.402597,0.741935
321,0.01,0.863703,1.327318,34,26,0.441558,0.764706
322,0.01,0.736496,1.366884,28,24,0.363636,0.857143
323,0.01,0.777518,1.368992,29,25,0.376623,0.862069
324,0.01,0.725485,1.356693,24,20,0.311688,0.833333
325,0.01,0.802853,1.328157,30,23,0.38961,0.766667
326,0.01,0.759857,1.348766,27,22,0.350649,0.814815
327,0.01,0.832954,1.339473,29,23,0.376623,0.793103
328,0.01,0.732532,1.361151,32,27,0.415584,0.84375
329,0.01,0.719845,1.397457,28,26,0.363636,0.928571
330,0.01,0.761113,1.37096,30,26,0.38961,0.866667
331,0.01,0.789955,1.382171,28,25,0.363636,0.892857
