pair_id,overlap_ratio,snr_db,cr_sep1,cr_sep2,cer_mixed,cer_sep,cer_energy_trim,cer_flatness_gate,cer_flatness_relenergy_gate,fired_energy_trim,fired_flatness_gate,fired_flatness_relenergy_gate
7,0.6,0.0,0.0,0.8378,0.954545,0.909091,0.909091,0.954545,0.954545,0,1,1
8,0.0,None,0.6316,0.7273,0.833333,0.916667,0.583333,0.583333,0.583333,1,1,1
8,0.0,20.0,0.5714,0.7241,0.916667,0.833333,0.833333,0.75,0.75,0,1,1
8,0.0,10.0,0.5714,0.8077,0.75,0.75,0.75,0.916667,0.916667,0,1,1
8,0.0,5.0,0.625,0.6562,0.916667,1.0,1.0,1.0,1.0,0,1,1
8,0.0,0.0,0.7105,0.625,1.0,1.166667,1.166667,1.166667,1.0,0,0,1
8,0.1,None,0.6316,0.7273,0.916667,0.916667,0.583333,0.583333,0.583333,1,1,1
8,0.1,20.0,0.5714,0.7273,0.916667,0.833333,0.833333,0.583333,0.583333,0,1,1
8,0.1,10.0,0.6923,0.8077,0.916667,1.083333,1.083333,0.916667,0.916667,0,1,1
8,0.1,5.0,0.5714,0.6857,0.916667,0.916667,0.916667,0.916667,0.916667,0,1,1
8,0.1,0.0,0.7241,0.625,1.5,1.0,1.0,1.0,1.0,0,0,1
8,0.3,None,0.6316,0.7273,0.75,0.916667,0.583333,0.583333,0.583333,1,1,1
8,0.3,20.0,0.625,0.7241,0.75,1.0,1.0,0.75,0.75,0,1,1
8,0.3,10.0,0.6207,0.8077,0.916667,1.083333,1.083333,0.916667,1.083333,0,1,1
8,0.3,5.0,0.72,0.6207,9.583333,1.0,1.0,1.0,1.0,0,1,1
8,0.3,0.0,0.625,0.625,1.0,1.0,1.0,1.0,1.0,0,0,1
8,0.6,None,0.6316,0.7143,0.75,0.583333,0.583333,0.583333,0.583333,1,1,1
8,0.6,20.0,0.5714,0.8095,11.166667,0.5,0.5,0.75,0.75,0,1,1
8,0.6,10.0,0.6923,0.8077,1.0,1.083333,1.083333,0.916667,0.916667,0,1,1
8,0.6,5.0,0.625,0.6207,0.916667,1.0,1.0,19.166667,19.166667,0,1,1
8,0.6,0.0,0.625,0.5714,1.0,1.0,1.0,0.916667,0.916667,0,1,1
9,0.0,None,0.7179,0.873,0.290323,0.483871,0.580645,0.580645,0.580645,1,1,1
9,0.0,20.0,0.775,0.873,0.193548,0.387097,0.387097,0.580645,0.516129,0,1,1
